track_id,track_name,track_popularity,duration_ms,artist_names,artist_ids,album_id,album_name,album_release_date,album_total_tracks
4gxs9En3aoaOm2J5wNMMm9,I Feel Fine - Remastered 2009,54,140400,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,6126O4XLYAfzU3961ziahP,The Beatles 1962 - 1966 (Remastered),1973-04-01,26
5GMw6X6BbCDGO9gApQYRSa,You've Lost That Lovin' Feelin',57,225426,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,5CFmNamq1ceXn8RFJ9i7p6,The Very Best Of The Righteous Brothers - Unchained Melody,1990,12
7n9i7x2fXDmgCsGExP5CrW,This Diamond Ring,32,136800,Gary Lewis & The Playboys,0XTxadWXVyfB8eTIYOjMYj,5d5JSnI9P9ADeXR4qcx7xl,The Best Of Gary Lewis And The Playboys,2011-01-01,10
6jWkZvd1URGktyTTwcpPpB,My Girl,0,165000,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,7C4vMPQR8KcbZv4e2ZI0lc,The Temptations Sing Smokey,1965-01-01,12
1Dg4dFJr3HW7sbA7vPejre,Eight Days A Week - Remastered 2009,62,163600,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale (Remastered),1964-12-04,14
5yfrc6CGOXxDWx3nGUDcNj,Stop! In The Name Of Love,0,172933,The Supremes,57bUPid8xztkieZfS7OlEV,5Z9hrH7aGLMT9s6lNYx2HH,More Hits By The Supremes - Expanded Edition,1965-07-23,52
0yYMwhZjETU65G0cb4OTRr,I'm Telling You Now,0,125533,Freddie & The Dreamers,1wCc2Wgga1H8C7u57pcqYk,7GyCInPcS17DR5hJcoPcVT,British Invasion Gold,2006-01-01,32
4w8m6NzBlb0kRy6s0E12Q9,Game Of Love,0,133773,Wayne Fontana,3LUkBWNeAcbLju5dL8poH3,3gcA7LDHiBVopbrDgEfq82,A Groovy Kind Of Love - Game Of Love - Single,2008-06-27,2
1GJCJpKYfzRUsYnSRy4Mfz,"Mrs. Brown, You've Got A Lovely Daughter",43,167480,Herman's Hermits,48YxSlb23RAaCd4RyHcV9V,6TbZXMXvUGFqx3opETEAuW,Herman's Hermits Retrospective,1966-01-01,26
7CZiDzGVjUssMSOXrDNYHL,Ticket To Ride - Remastered 2009,66,189680,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help! (Remastered),1965-08-06,14
4qvdAp6MMl59RjaTOti9QD,"Help Me, Rhonda",42,167506,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,6cSZPNsr3tMEHo5QrMjk1F,50 Big Ones: Greatest Hits,2012-01-01,50
5QU93rrOcI1wq3lSveWktO,Back In My Arms Again,0,173840,The Supremes,57bUPid8xztkieZfS7OlEV,0iv3gV69jA1YY2H0UTy9yF,Motown: The Complete No. 1's,2008-01-01,202
3aSWQJcWnnqgwYbAgidvlV,"I Can't Help Myself (Sugar Pie, Honey Bunch)",58,163680,Four Tops,7fIvjotigTGWqjIz6EP1i4,348K6QH725oW2W78lvSy1Y,The Definitive Collection,2008-01-01,18
