track_id,track_name,artist_names,album_id,album_name,album_release_date,release_year,artist_ids,duration_ms,album_total_tracks,track_popularity,genre
5FMyXeZ0reYloRTiCkPprT,Which One (feat. Central Cee),Drake; Central Cee,4TWJJZmgYm6tE6PzqpluQ0,Which One,2025-07-25 00:00:00+00:00,2025.0,3TVXtAsR1Inumwj472S9r4; 5H4yInM5zmHqpKIoMNAx4r,169134,1,85,drill; rap; uk drill; uk grime
541sN2qNfIlllGn9nGOQoC,Revolving door,Tate Mcrae,3w32SV56JvtJXsrYtThwzP,So Close To What,2025-02-21 00:00:00+00:00,2025.0,45dkTj5sMRSjrmBSBeiHym,180032,15,85,
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,5quMTd5zeI9yW5UDua8wS4,Espresso,2024-04-12 00:00:00+00:00,2024.0,74KM79TiuVKeVCqs8QtB0B,175459,1,85,pop
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06 00:00:00+00:00,2019.0,246dkjvS1zLTtiykXe5h60,215280,17,85,
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Usher; Lil Jon; Ludacris,1RM6MGv6bcl6NrAG8PGoZk,Confessions (Expanded Edition),2004-03-23 00:00:00+00:00,2004.0,23zg3TcAtWQy7J6upgbUnj; 7sfl4Xt5KmfyDs2T3SVSMK; 3ipn9JLAPI5GUEo4y4jcoi,250373,21,85,crunk; r&b; southern hip hop
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta; Bebe Rexha,7M842DMhYVALrXsw3ty7B3,I'm Good (Blue),2022-08-26 00:00:00+00:00,2022.0,1Cs0zKBU1kc0i8ypK3B9ai; 64M6ah0SkkRsnPGtGiRAbb,175238,2,85,edm
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,Nickelback,5fKL7vMTXvhR9tov8Kqt3u,Silver Side Up,2001-09-11 00:00:00+00:00,2001.0,6deZN1bslXzeGvOLaLMOIF,223840,10,85,post-grunge; rock
1UNEuG9DYOWiikf00ayr52,Love Me Not,Ravyn Lenae,6YHaDmwYvX8vREotCZTV6g,Love Me Not / Love Is Blind,2024-05-03 00:00:00+00:00,2024.0,5RTLRtXjbXI2lSXc6jxlAz,213466,2,85,alternative r&b; indie soul
7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson,2ANVost0y2y52ema1E9xAZ,Thriller,1982-11-30 00:00:00+00:00,1982.0,3fMbdgg4jU18AjLCKBhRSm,294226,9,85,
6Q3lFQgpvhA9VApFKLFZtZ,Strategy,Twice,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20 00:00:00+00:00,2025.0,7n2Ycct7Beij7Dj7meI4X0,168645,12,85,k-pop
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,6rePArBMb5nLWEaY9aQqL4,The Fame Monster (Deluxe Edition),2009-11-05 00:00:00+00:00,2009.0,1HY2Jd0NmPuamShAr6KMms,294573,23,85,art pop; pop
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,Eminem; Rihanna,47BiFcV59TQi2s9SkBo2pb,Recovery,2010-06-18 00:00:00+00:00,2010.0,7dGJo4pcD2V6oG8kP0tJRR; 5pKCCKE2ajJHZ9KAiaK11H,263373,17,85,hip hop; rap
